Player,Banker,Result
"['10♠️', 'J♣️', '4♥️']","['5♠️', '2♣️']",B
"['5♥️', '6♣️', '3♥️']","['Q♦️', 'Q♣️', 'K♥️']",P
"['9♥️', '7♠️']","['3♠️', '2♥️', '10♥️']",P
"['K♥️', '9♠️']","['A♦️', '6♥️']",P
"['5♦️', 'A♣️']","['3♣️', 'A♠️', '8♦️']",P
"['8♦️', '2♥️', '10♦️']","['4♥️', '8♥️', 'K♣️']",B
"['2♣️', '9♣️', 'J♠️']","['2♥️', 'J♥️', 'A♠️']",B
"['J♥️', '2♣️', '4♦️']","['5♦️', '9♦️', '8♥️']",P
"['K♣️', '5♠️', 'J♠️']","['9♣️', '7♥️']",B
"['J♦️', 'K♥️', '7♠️']","['8♥️', '3♥️', '4♥️']",P
"['K♠️', '2♣️', 'K♠️']","['9♠️', '3♦️', 'Q♣️']",T
"['A♠️', 'J♦️', '9♦️']","['7♣️', '10♣️']",B
"['3♣️', 'K♦️', '8♣️']","['6♥️', 'Q♦️']",B
"['9♥️', 'Q♣️']","['5♣️', '10♥️']",P
"['2♣️', '9♠️', 'Q♦️']","['J♠️', '5♥️']",B
"['2♦️', '2♣️']","['Q♠️', '8♠️']",B
"['9♣️', '5♦️', '6♦️']","['6♣️', 'K♦️', '8♠️']",B
"['6♦️', '5♣️', '5♥️']","['9♦️', '4♦️', '2♠️']",P
"['4♦️', '9♥️', 'A♦️']","['5♠️', '9♣️']",T
"['6♥️', '10♦️']","['Q♠️', 'Q♣️', 'A♦️']",P
"['Q♥️', '10♠️', 'K♠️']","['K♥️', '2♣️', '4♠️']",B
"['3♠️', '8♦️', '8♥️']","['J♣️', '7♠️']",P
"['5♠️', '9♦️', '2♥️']","['3♥️', '7♠️', '4♠️']",P
"['3♥️', '6♣️']","['7♠️', '8♠️']",P
"['K♠️', '6♠️']","['4♦️', '4♦️']",B
"['6♣️', '5♦️', '8♦️']","['J♣️', '5♦️']",P
"['3♦️', '7♦️', 'J♥️']","['Q♣️', '10♠️', 'Q♦️']",T
"['9♥️', 'Q♦️']","['7♥️', '9♥️']",P
"['3♥️', 'J♥️']","['2♠️', '7♣️']",B
"['10♦️', '5♠️', '2♥️']","['Q♣️', '4♦️', '2♠️']",P
"['6♦️', 'J♣️']","['3♣️', '5♠️']",B
"['8♠️', '5♣️', '5♣️']","['Q♣️', '7♦️']",P
"['9♦️', '6♦️']","['7♥️', '2♠️']",B
"['9♦️', '10♠️']","['7♦️', '3♠️']",P
"['9♥️', 'A♦️', '10♦️']","['A♥️', '9♦️', '5♠️']",B
"['7♥️', '4♦️', 'K♣️']","['2♥️', 'J♣️', 'A♦️']",B
"['7♦️', '5♠️', '9♥️']","['7♣️', 'Q♦️']",B
"['10♥️', '9♣️']","['4♦️', '7♥️']",P
"['3♣️', '7♠️', 'A♠️']","['8♥️', '2♥️', '3♣️']",B
"['J♣️', '5♥️', 'Q♦️']","['J♠️', '6♦️']",B
"['4♠️', '3♠️']","['4♣️', '3♠️']",T
"['5♠️', '5♠️', '4♦️']","['4♥️', '3♦️']",B
"['3♠️', '10♣️', '9♣️']","['K♣️', 'J♦️', 'A♦️']",P
"['6♠️', 'Q♣️']","['Q♣️', '6♠️']",T
"['10♦️', '2♥️', '2♥️']","['K♣️', '6♥️']",B
"['K♥️', '3♥️', '3♣️']","['3♣️', 'K♥️', 'Q♣️']",P
"['J♥️', '4♥️', '2♦️']","['9♥️', '5♦️', '7♥️']",P
"['4♠️', '2♠️']","['8♣️', 'J♦️']",B
"['2♣️', '10♣️']","['8♦️', 'Q♦️']",B
"['10♠️', '3♣️', '9♣️']","['2♦️', 'A♠️', 'A♥️']",B
"['9♠️', 'K♣️']","['10♠️', '10♦️']",P
"['2♣️', '10♥️', '7♠️']","['J♠️', 'K♦️', '6♦️']",P
"['10♠️', 'Q♠️']","['9♥️', '9♥️']",B
"['3♠️', '5♠️']","['J♥️', 'A♥️']",P
"['7♣️', '10♦️']","['A♣️', 'K♠️', 'J♣️']",P
"['J♥️', '6♠️']","['4♣️', 'Q♦️', '7♥️']",P
"['3♠️', 'A♦️', '8♠️']","['5♥️', 'A♠️']",B
"['3♦️', '4♦️']","['5♠️', '10♥️', '9♠️']",P
"['8♥️', '9♥️']","['7♠️', '9♥️']",P
"['10♦️', 'A♣️', 'K♥️']","['2♦️', 'Q♥️', 'Q♠️']",B
"['J♥️', '2♥️']","['9♦️', 'J♠️']",B
"['8♣️', '10♠️']","['J♠️', 'K♦️']",P
"['7♠️', '4♣️', '3♥️']","['7♦️', 'J♣️']",B
"['3♠️', '7♠️', '7♥️']","['2♣️', 'Q♣️', '3♠️']",P
"['3♦️', '8♠️']","['3♠️', '6♥️']",B
"['K♣️', 'J♠️']","['7♠️', '2♦️']",B
"['10♠️', 'K♥️', '4♥️']","['5♥️', 'J♣️', '9♠️']",T
"['K♠️', '5♥️', '9♠️']","['2♥️', 'Q♣️', '3♥️']",B
"['7♦️', '7♠️']","['8♠️', 'Q♥️']",B
"['J♠️', '3♥️', 'J♥️']","['2♣️', 'Q♦️', '5♣️']",B
"['5♠️', 'Q♠️']","['9♦️', '9♣️']",B
"['J♣️', '10♣️', '2♣️']","['A♥️', '4♥️']",B
"['4♥️', 'A♠️', 'J♠️']","['K♠️', 'J♦️', '9♥️']",B
"['7♠️', '2♠️']","['Q♦️', '4♥️']",P
"['Q♣️', 'Q♣️', '7♠️']","['6♥️', '9♣️', 'K♦️']",P
"['7♦️', '6♥️', '10♣️']","['2♣️', '5♦️']",B
"['10♠️', '10♠️']","['8♠️', 'K♠️']",B
"['9♣️', '3♦️', '4♥️']","['K♥️', 'K♣️', '9♥️']",B
"['A♦️', 'K♥️']","['4♥️', '4♥️']",B
"['J♠️', '2♥️', '4♠️']","['A♦️', 'J♠️', '9♠️']",P
"['3♣️', '10♦️']","['9♦️', '9♦️']",B
"['6♥️', '4♠️', '5♠️']","['5♥️', '10♥️', 'J♣️']",T
"['10♦️', 'J♣️']","['3♠️', '5♥️']",B
"['6♥️', '7♠️', 'Q♥️']","['5♠️', '8♠️', '4♥️']",B
"['Q♦️', 'K♥️', 'K♠️']","['6♦️', '7♦️', '2♥️']",B
"['8♥️', '4♥️']","['7♠️', '2♥️']",B
"['J♥️', '2♦️', 'A♣️']","['8♣️', '9♠️']",B
"['Q♠️', '8♦️']","['K♦️', '2♠️']",P
"['8♠️', '4♦️']","['4♠️', '4♣️']",B
"['A♥️', '4♦️', 'A♥️']","['2♠️', '4♦️']",T
"['A♥️', '7♥️']","['A♦️', 'Q♣️']",P
"['A♠️', '6♥️']","['5♥️', '5♥️', 'Q♠️']",P
"['7♠️', '2♥️']","['4♠️', 'K♠️']",P
"['7♦️', '5♠️']","['9♥️', 'Q♣️']",B
"['4♣️', 'A♠️', 'A♠️']","['7♠️', '7♥️', '8♦️']",P
"['4♥️', '9♥️', '4♦️']","['4♦️', '9♥️', 'Q♠️']",P
"['6♦️', '8♣️', '2♣️']","['A♦️', '4♠️', 'Q♥️']",P
"['Q♦️', '4♥️']","['8♥️', 'Q♥️']",B
"['3♦️', '4♠️']","['7♦️', 'J♦️']",T
"['J♣️', 'A♥️', '2♠️']","['9♥️', '6♥️']",B
"['A♠️', 'Q♦️']","['5♥️', '4♣️']",B
"['J♣️', '2♣️', '10♠️']","['6♥️', '9♥️']",B
"['A♦️', 'A♠️', '4♣️']","['K♠️', 'Q♥️', '6♣️']",T
"['K♣️', 'A♣️']","['3♠️', '6♠️']",B
"['4♠️', '5♦️']","['J♠️', '7♦️']",P
"['8♥️', '4♠️']","['3♥️', '5♠️']",B
"['10♥️', 'A♥️', '4♠️']","['8♥️', '7♦️', '3♦️']",B
"['J♠️', '8♣️']","['A♦️', 'K♣️']",P
"['7♣️', '2♦️']","['8♥️', '8♠️']",P
"['K♠️', 'J♦️']","['5♦️', '3♠️']",B
"['5♦️', '4♠️']","['A♣️', '3♣️']",P
"['3♣️', '8♦️', '6♣️']","['A♦️', '10♥️', '10♠️']",P
"['3♥️', '3♣️']","['5♣️', 'A♠️']",T
"['6♦️', 'A♦️']","['2♣️', 'J♦️', '2♦️']",P
"['8♣️', '7♣️']","['8♦️', 'J♣️']",B
"['Q♦️', 'A♥️', '4♥️']","['3♦️', '4♣️']",B
"['Q♥️', '5♣️']","['9♦️', 'K♥️']",B
"['J♥️', '5♣️', '3♥️']","['4♠️', 'Q♠️', '10♠️']",P
"['3♥️', '9♦️']","['8♠️', 'K♥️']",B
"['7♥️', 'J♥️']","['10♥️', '10♠️', '3♦️']",P
"['3♠️', 'J♠️', '6♣️']","['6♦️', '8♣️', '2♠️']",P
"['A♠️', '5♠️']","['Q♠️', 'J♠️', '5♣️']",P
"['A♥️', '3♣️', '4♥️']","['3♥️', '10♥️', '10♠️']",P
"['Q♦️', 'A♠️', 'A♠️']","['10♦️', '7♠️']",B
"['5♠️', '7♠️']","['2♣️', '7♠️']",B
"['10♥️', '8♦️']","['2♦️', '8♥️']",P
"['8♠️', 'Q♥️']","['2♣️', '9♠️']",P
"['K♠️', 'J♠️', '7♣️']","['A♠️', 'Q♥️', '5♥️']",P
"['J♦️', '8♣️']","['5♠️', '4♦️']",T
"['10♥️', '5♠️', '4♦️']","['5♦️', 'A♦️']",P
"['6♣️', 'A♠️']","['K♠️', 'K♥️', 'J♣️']",P
"['K♣️', 'K♠️', '9♥️']","['7♠️', 'Q♣️']",P
"['5♦️', 'Q♣️']","['6♥️', '3♣️']",B
"['J♦️', '9♦️']","['5♠️', '9♥️']",P
"['2♠️', '10♣️', 'K♥️']","['Q♣️', '7♥️']",B
"['2♠️', '2♠️', '3♦️']","['6♦️', '5♣️', '6♥️']",T
"['10♦️', 'Q♠️', '5♠️']","['A♣️', 'Q♣️', '2♠️']",P
"['K♥️', '5♥️', '6♣️']","['Q♦️', '7♥️']",B
"['A♦️', 'A♦️', '2♥️']","['6♥️', '9♥️']",B
"['3♠️', 'J♣️', 'K♥️']","['J♠️', 'J♥️', '8♥️']",B
"['3♣️', '6♠️']","['4♦️', 'K♦️']",P
"['7♠️', '8♦️', '4♠️']","['A♥️', 'K♥️', 'Q♦️']",P
"['J♠️', '5♦️']","['7♦️', 'A♣️']",B
"['J♦️', 'Q♠️']","['8♦️', 'Q♦️']",B
"['5♠️', '6♥️', '7♠️']","['7♦️', '5♣️', '3♦️']",P
"['6♥️', 'K♠️']","['8♣️', 'K♣️']",B
"['5♠️', '2♦️']","['2♦️', 'J♦️', '6♦️']",B
"['7♥️', 'J♣️']","['J♠️', '6♥️']",P
"['A♥️', '3♣️', '9♦️']","['9♥️', '8♠️']",B
"['3♣️', '9♥️', 'K♠️']","['9♦️', '2♥️', '2♥️']",B
"['4♣️', '5♠️']","['7♠️', '7♣️']",P
"['2♠️', '7♣️']","['3♠️', 'Q♦️']",P
"['7♠️', '6♣️', '2♠️']","['A♣️', 'K♣️', '7♦️']",B
"['7♥️', 'Q♠️']","['Q♥️', '6♦️']",P
"['Q♠️', '9♥️']","['10♥️', '7♠️']",P
"['4♦️', '9♠️', '4♦️']","['J♣️', '4♠️', 'J♠️']",P
"['Q♠️', '5♣️', '10♦️']","['10♥️', '10♥️', '4♠️']",P
"['10♥️', '2♣️', 'Q♣️']","['K♣️', '4♠️']",B
"['7♦️', '4♠️', 'A♦️']","['K♦️', '3♠️', 'J♥️']",B
"['9♣️', '6♠️', '8♥️']","['A♣️', '10♦️', '6♣️']",B
"['10♣️', '2♣️', 'Q♣️']","['A♦️', '6♦️']",B
"['6♥️', '8♦️', '4♣️']","['8♣️', '6♥️', 'J♥️']",P
"['9♦️', '8♣️']","['4♥️', '9♦️', 'A♠️']",P
"['9♥️', 'K♠️']","['9♥️', '10♥️']",T
"['K♦️', 'Q♠️', 'K♥️']","['7♠️', '5♥️', '10♦️']",B
"['Q♥️', '5♥️', '9♥️']","['3♠️', '10♦️', '2♥️']",B
"['Q♦️', '10♠️', '7♣️']","['8♣️', '2♦️', '2♠️']",P
"['Q♠️', '7♣️']","['4♠️', '5♥️']",B
"['Q♣️', '3♥️', '9♠️']","['Q♥️', '10♦️', '4♣️']",B
"['7♣️', '10♦️']","['Q♠️', '6♠️']",P
"['7♥️', '10♦️']","['Q♠️', '7♥️']",T
"['Q♥️', '6♠️']","['5♠️', 'Q♣️', 'Q♠️']",P
"['8♣️', 'Q♥️']","['K♦️', '6♣️']",P
"['A♠️', '4♣️']","['9♥️', 'J♠️']",B
"['2♣️', '5♦️']","['4♥️', '5♥️']",B
"['7♣️', '10♠️']","['A♦️', 'A♠️', '6♥️']",B
"['Q♣️', '8♦️']","['7♦️', '2♠️']",T
"['9♦️', '3♥️', '4♥️']","['J♥️', '7♠️']",B
"['10♥️', '8♦️']","['A♠️', '3♠️']",P
"['8♥️', 'A♠️']","['6♣️', '9♥️']",P
"['4♦️', '10♠️', '7♥️']","['6♦️', 'K♠️', 'K♦️']",B
"['5♦️', '7♠️', '9♦️']","['Q♠️', 'J♠️', '6♥️']",B
"['6♦️', '3♠️']","['J♣️', '7♥️']",P
"['4♦️', 'J♦️', '6♣️']","['5♦️', 'K♦️', 'A♠️']",B
"['9♦️', '2♠️', '9♣️']","['A♥️', '3♠️']",B
"['10♣️', '3♣️', '10♥️']","['7♦️', '6♥️', 'J♠️']",T
"['8♦️', '7♥️', 'A♣️']","['8♠️', '9♣️']",B
"['6♥️', '2♦️']","['K♥️', 'A♠️']",P
"['4♠️', 'J♥️', 'J♦️']","['3♥️', '4♥️']",B
"['10♥️', '2♥️', 'A♣️']","['J♦️', '5♣️']",B
"['K♥️', 'K♠️']","['J♦️', '9♦️']",B
"['3♦️', '8♠️', 'A♠️']","['2♥️', 'J♠️', '10♠️']",T
"['K♥️', 'Q♣️', '9♥️']","['2♣️', '9♥️', '8♦️']",T
"['9♥️', '10♥️']","['2♦️', '2♦️']",P
"['K♠️', '3♥️', '10♥️']","['2♣️', '8♦️', '4♣️']",B
"['9♠️', '8♥️']","['Q♥️', 'Q♦️', 'J♦️']",P
"['10♥️', 'K♦️', '2♣️']","['Q♠️', '7♦️']",B
"['Q♣️', '8♥️']","['A♠️', '8♥️']",T
"['Q♥️', '3♠️', 'A♣️']","['4♦️', 'K♥️']",T
"['Q♥️', '6♠️']","['2♠️', '10♣️', '9♠️']",P
"['7♥️', 'A♣️']","['8♣️', 'K♦️']",T
"['J♥️', '7♠️']","['10♦️', '2♥️', '5♦️']",T
"['10♦️', '3♥️', '4♥️']","['J♦️', '7♥️']",T
"['7♥️', '10♠️']","['10♥️', '10♥️', 'A♦️']",P
"['J♠️', '7♠️']","['K♦️', 'J♣️', 'J♦️']",P
"['K♦️', '4♥️', '3♣️']","['7♣️', 'K♣️']",T
"['K♠️', '3♦️']","['4♥️', '5♦️']",B
"['A♥️', '3♣️', '9♥️']","['9♣️', '4♦️', '5♣️']",B
"['5♥️', '10♦️', '4♠️']","['J♦️', '10♦️', '2♠️']",P
"['5♥️', '3♠️']","['Q♥️', '10♦️']",P
"['J♠️', '3♦️', '2♥️']","['7♣️', '5♥️', 'Q♠️']",P
"['10♦️', '9♣️']","['6♥️', 'K♣️']",P
"['K♠️', 'K♣️', '5♥️']","['J♣️', '4♦️', '9♦️']",P
"['2♠️', 'K♦️', 'A♦️']","['2♣️', '10♦️', '3♥️']",B
"['5♦️', '5♥️']","['10♦️', '9♣️']",B
"['10♣️', 'K♥️']","['J♣️', '8♣️']",B
"['Q♠️', 'Q♦️']","['4♦️', '5♣️']",B
"['2♠️', '2♥️', 'Q♦️']","['A♠️', 'Q♥️', '3♣️']",T
"['7♥️', '6♠️', '3♠️']","['J♠️', 'K♥️', '9♣️']",B
"['Q♥️', '4♠️', '4♣️']","['5♠️', 'K♦️', '5♦️']",P
"['6♦️', '7♠️', '8♠️']","['4♦️', 'K♦️']",B
"['10♣️', 'A♥️']","['Q♣️', '9♦️']",B
"['A♥️', 'J♥️', '4♦️']","['J♥️', 'J♦️', '9♦️']",B
"['7♣️', '4♦️', 'K♥️']","['7♠️', 'J♣️']",B
"['5♣️', '8♦️', '4♠️']","['4♠️', 'A♥️', '4♥️']",B
"['4♥️', '5♠️']","['9♦️', '9♦️']",T
"['4♠️', 'K♥️', 'J♣️']","['7♣️', '8♥️']",B
"['4♣️', '6♠️', '4♥️']","['Q♣️', 'K♦️', 'Q♦️']",P
"['9♥️', '5♥️', '2♠️']","['J♠️', '10♠️', '4♠️']",P
"['4♠️', '10♥️', '7♠️']","['5♥️', '10♠️', '9♦️']",B
"['K♣️', '7♦️']","['5♦️', 'A♦️']",P
"['7♣️', 'A♦️']","['A♦️', '10♥️']",P
"['2♥️', '7♥️']","['5♣️', '3♣️']",T
"['9♦️', '6♣️', '6♠️']","['K♠️', 'J♥️', '8♠️']",B
"['7♦️', 'J♣️']","['J♣️', '9♣️']",B
"['J♣️', '9♥️']","['6♥️', '10♠️']",P
"['7♣️', '8♦️', 'J♦️']","['J♠️', '4♠️']",P
"['4♦️', 'J♣️', '4♠️']","['2♠️', 'J♠️', 'Q♠️']",P
"['8♥️', '10♣️']","['7♣️', 'A♣️']",T
"['3♦️', 'J♠️', 'K♠️']","['3♣️', 'A♠️']",B
"['A♣️', '4♥️', 'J♦️']","['3♠️', '7♠️', '3♠️']",P
"['9♠️', '9♠️']","['9♦️', '2♥️']",P
"['6♥️', 'K♦️']","['Q♥️', '5♦️', 'K♠️']",P
"['10♦️', '8♠️']","['5♥️', '8♦️']",P
"['K♣️', '8♠️']","['8♣️', '7♥️']",P
"['Q♠️', '7♥️']","['6♦️', '5♣️', '3♥️']",P
"['9♥️', '7♠️']","['3♥️', '9♣️', 'K♦️']",P
"['2♥️', '10♠️', '10♣️']","['3♠️', '10♠️', 'K♥️']",B
"['9♥️', '10♦️']","['Q♥️', '4♦️']",P
"['J♦️', 'K♥️', '2♦️']","['7♥️', '4♠️', '7♥️']",B
"['8♦️', '3♣️', '3♦️']","['Q♥️', '10♥️', '9♥️']",B
"['9♠️', '3♦️', 'A♣️']","['K♠️', 'Q♦️', '7♣️']",B
"['A♥️', '10♠️', '7♠️']","['4♣️', '9♠️', '8♦️']",P
"['7♦️', '9♣️']","['K♠️', '8♥️']",B
"['5♦️', '2♥️']","['5♣️', '9♠️', '7♠️']",P
"['5♥️', '8♥️', '5♦️']","['Q♦️', 'A♠️', '3♥️']",P
"['Q♥️', 'Q♦️', 'A♣️']","['A♠️', 'J♣️', '5♥️']",B
"['10♠️', '8♣️']","['9♣️', 'K♣️']",T
"['9♥️', '3♦️', '6♥️']","['4♠️', '8♦️', 'J♥️']",P
"['5♥️', '7♣️']","['7♦️', 'A♥️']",B
"['8♣️', '4♠️', 'Q♣️']","['2♣️', '9♣️', '6♠️']",B
"['5♠️', '4♠️']","['4♣️', 'K♣️']",P
"['3♣️', '7♠️']","['2♣️', '6♦️']",B
"['10♦️', 'Q♣️', '8♥️']","['10♥️', '2♠️', '8♥️']",P
"['9♠️', '4♥️', '8♥️']","['2♣️', '5♥️']",B
"['8♠️', '2♥️', '4♣️']","['4♦️', 'K♠️', '8♥️']",P
"['4♥️', 'J♥️', 'K♠️']","['4♦️', '8♥️', '6♥️']",B
"['J♦️', '2♣️', 'K♣️']","['2♠️', '8♦️', 'Q♥️']",P
"['Q♦️', '9♦️']","['K♣️', '8♦️']",T
"['6♥️', 'Q♠️']","['5♠️', 'K♣️', '2♠️']",B
"['8♥️', '10♠️']","['8♣️', 'Q♠️']",T
"['6♣️', 'Q♥️']","['2♥️', '6♦️']",B
"['J♦️', '3♥️', '8♠️']","['8♦️', '9♣️']",B
"['9♦️', '7♠️']","['K♥️', 'K♦️', '8♦️']",B
"['4♣️', '2♠️']","['9♦️', '8♦️']",B
"['6♣️', 'A♦️']","['7♦️', '8♥️', '10♠️']",P
"['Q♠️', 'K♣️', '5♥️']","['8♥️', '7♣️', '6♥️']",P
"['10♣️', '4♥️', '8♦️']","['J♣️', '4♣️']",B
"['Q♣️', 'K♥️', '7♣️']","['J♠️', '10♥️', '10♦️']",P
"['8♦️', 'J♦️']","['9♣️', '10♠️']",T
"['J♠️', '10♠️', '9♥️']","['10♦️', 'K♠️', '8♣️']",P
"A♦️, Q♣️, 7♦️","K♦️, 4♥️, 7♥️",P
"6♦️, K♠️","6♥️, Q♦️",T
"7♥️, 3♣️, 5♥️","Q♠️, K♣️, J♦️",P
"K♠️, 2♣️","10♣️, 9♠️",B
"9♥️, A♣️, Q♣️","5♣️, 10♣️",B
"10♣️, 5♠️, 7♥️","6♠️, A♣️",B
"3♦️, Q♠️, 9♥️","4♣️, 10♠️",B
"3♦️, 6♦️","2♣️, Q♦️",P
"5♥️, 10♥️, 7♥️","10♣️, 7♦️",B
"J♣️, J♣️, 10♠️","2♥️, 8♠️, 10♠️",T
"4♣️, 7♥️, 6♠️","Q♥️, K♣️, 4♥️",P
"6♥️, 10♥️","A♣️, 8♦️",B
"2♦️, 2♦️, Q♣️","2♦️, 3♠️",B
"J♦️, 8♥️","8♣️, 8♠️",P
"10♣️, 5♠️, A♥️","2♥️, 4♣️",T
"8♣️, 2♠️","J♠️, 9♥️",B
"6♣️, J♥️","9♣️, 7♠️",T
"6♠️, 8♥️, Q♠️","5♦️, 5♠️, A♥️",P
"K♦️, Q♠️, 7♠️","8♦️, 7♥️, 5♥️",P
"2♦️, 4♠️","10♣️, J♣️, 3♣️",P
"J♠️, 3♦️, 10♠️","K♣️, J♣️, 7♠️",B
"A♦️, 6♦️","2♦️, 9♠️, 9♦️",P
"2♠️, 10♦️, 8♠️","7♥️, 10♠️",B
"7♣️, 3♦️, 8♠️","10♠️, 5♠️",P
"Q♦️, 4♦️, 9♣️","2♣️, 9♥️, J♦️",P
"8♥️, 5♠️, 10♣️","7♥️, 3♦️, 2♣️",P
"K♠️, 8♠️","2♣️, Q♠️",P
"Q♦️, 5♣️, 9♦️","6♠️, 5♣️, 3♠️",T
"A♣️, K♥️","6♥️, 2♦️",B
"K♣️, A♣️, 5♣️","7♣️, 7♣️, 5♦️",B
"3♥️, 5♥️","Q♣️, 2♦️",P
"2♠️, 4♥️","6♣️, Q♠️",T
"3♣️, A♣️","9♦️, Q♣️",B
"K♣️, 8♠️","Q♠️, 9♥️",T
"6♠️, 10♣️","6♣️, 7♣️, 2♠️",P
"4♦️, 10♠️","10♣️, 8♦️",B
"K♣️, A♦️, 9♥️","Q♦️, 2♦️, 6♥️",B
"8♠️, A♠️","9♣️, Q♥️",T
"K♣️, 3♦️, 3♣️","3♠️, 7♣️, 9♥️",B
"9♥️, 2♠️, Q♠️","A♦️, 4♥️",B
"4♠️, 5♠️","7♠️, 5♣️",P
"J♣️, Q♠️","7♦️, A♥️",B
"9♠️, 2♠️, 3♥️","A♦️, 3♦️, 2♠️",B
"A♥️, 5♣️","5♥️, 7♣️, 6♠️",B
"10♦️, 3♥️, J♠️","3♣️, 2♥️",B
"5♦️, 4♦️","A♠️, 5♠️",P
"6♥️, 10♠️","4♣️, J♣️, Q♣️",P
"5♠️, 8♥️, 8♦️","9♠️, 8♣️",B
"4♥️, 2♣️","5♣️, 3♦️",B
"2♠️, 8♦️","7♠️, A♠️",B
"10♠️, 9♠️","7♥️, Q♣️",P
"A♦️, 7♥️","A♥️, 2♥️",P
"5♦️, K♣️","5♠️, 4♥️",B
"5♠️, 7♣️, 8♣️","2♥️, J♠️, 6♠️",B
"9♠️, K♥️","8♥️, J♣️",T
"3♥️, 8♠️","8♠️, 10♥️",B
"4♠️, 3♠️","8♥️, A♥️",B
"2♥️, 10♦️","A♠️, 7♠️",B
"J♥️, 2♥️, Q♠️","6♠️, 7♠️, 4♥️",B
"3♣️, 4♥️","7♣️, J♦️",T
"2♣️, 2♦️, 4♣️","2♠️, J♦️, J♠️",P
"3♥️, 6♠️","6♣️, 5♦️",P
"K♣️, Q♣️, 2♣️","4♠️, J♦️, 8♣️",T
"K♦️, 4♦️, 6♥️","10♠️, 10♣️, A♠️",B
"10♦️, J♠️, 8♥️","10♥️, Q♥️, 7♦️",P
"K♣️, 6♦️","9♥️, 10♦️",B
"5♠️, Q♥️, 10♠️","4♣️, J♥️",P
"J♥️, 4♦️, 6♥️","Q♦️, 6♠️, 5♥️",B
"J♠️, 7♣️","K♣️, 7♠️",T
"J♦️, 7♦️","3♣️, 2♣️, 8♠️",P
"8♥️, K♦️","2♠️, 7♥️",T
"7♥️, 7♥️","9♠️, K♠️",B
"6♥️, 10♥️","10♣️, Q♦️, 7♦️",B
"10♥️, 7♥️","Q♠️, 3♥️, 6♦️",B
"10♣️, A♥️, 9♠️","7♦️, 7♦️",B
"3♥️, A♠️, 8♥️","7♣️, 10♠️",B
"4♠️, 2♣️","3♦️, 10♣️, 3♥️",T
"10♥️, Q♠️, 10♣️","6♦️, 4♠️, Q♣️",T
"Q♥️, J♦️, 7♣️","3♠️, A♣️, 8♥️",P
"4♥️, 6♦️, 2♠️","10♥️, 3♣️, J♥️",B
"4♠️, 4♥️","9♦️, K♠️",T
"K♥️, 9♥️","2♣️, 2♠️",P
"5♣️, 5♥️, 3♥️","9♣️, A♠️, Q♦️",P
"8♥️, Q♠️","A♥️, 6♦️",P
"A♥️, 4♥️","5♦️, 4♠️",B
"K♥️, Q♦️, K♣️","K♦️, A♥️, 8♥️",B
"9♦️, 10♥️","3♠️, 7♠️",P
"K♦️, 9♣️","6♣️, 6♣️",P
"5♣️, 10♣️, 9♥️","A♣️, Q♥️, 8♠️",B
"3♦️, Q♦️","10♠️, 8♥️",B
"7♣️, Q♦️","9♣️, K♥️",B
"K♥️, 8♦️","J♥️, 9♦️",T
